number,first_name,last_name,gender,birth_date,employment_status,annual_salary,output
483,Lenord,Kihn,M,01-07-1994,,64598,yes
478,Palma,Beahan,F,06-05-1972,PE,124103,no
348,Hebert,Muller,M,04-09-1990,PE,100324,no
757,Virginia,Ullrich,M,23-09-1991,PE,144957,no
937,Roby,Hudson,M,15-01-1997,,137659,no
264,Jaeda,Effertz,,21-03-1994,PE,131924,no
165,Jalissa,Bogisich,F,07-01-1974,PE,101133,no
211,Lexie,Robel,M,05-09-1997,,106595,no
510,Billy,Reilly,M,30-04-1977,,75300,yes
940,Marlana,Moen,F,05-05-1979,CA,140611,no
175,Aja,Lynch,M,21-08-1986,PE,69271,yes
772,Jabez,McLaughlin,M,12-01-1971,PE,141535,no
950,Adrienne,Stokes,F,28-07-1982,CA,97453,yes
906,Florene,O'Connell,M,03-04-1979,PE,133971,no
325,Migdalia,Sauer,M,24-08-1992,PE,144271,no
194,Ace,Upton,,25-08-1987,PE,120120,no
493,Jelani,Quitzon,M,20-03-1991,PE,93442,yes
901,Nikki,D'Amore,,09-08-1985,CA,108287,no
712,Yahir,Kertzmann,F,27-10-1970,,95140,yes
936,Marsha,Ledner,F,23-12-1982,PE,143806,no
327,Amarion,Larkin,M,28-06-1987,PE,145321,no
431,Maynard,Zieme,,12-10-1982,PE,76354,yes
542,Mat,Nienow,F,14-06-1995,,141463,no
78,Brannon,Goldner,F,09-04-1985,PE,72290,yes
90,Zilpha,Kreiger,F,21-07-1980,,91584,yes
855,Carla,Witting,F,07-02-1977,PE,96996,yes
621,Saint,Hayes,F,09-08-1993,,128053,no
948,Gerry,Kunze,F,21-11-1990,,110341,no
232,Urijah,McClure,F,29-04-1971,TE,105555,no
377,Malcolm,Schmitt,M,30-03-1974,PE,59482,yes
458,Desmond,Pfeffer,F,07-04-1970,CA,72361,yes
171,Hope,Zboncak,F,18-07-1989,PE,109051,no
163,January,Balistreri,F,26-10-1995,,63802,yes
409,Brionna,Block,F,17-04-1973,,55607,yes
88,Zain,Franecki,F,03-11-1972,PE,141171,no
927,Jaelynn,Corkery,F,21-10-1999,PE,136524,no
397,Millicent,Moen,M,15-03-1983,PE,116407,no
